,route,cnt_total
448,main-bonus-news-vklad,6
449,main-online-internet-bonus,6
450,main-bonus-rabota-news-online,6
451,main-internet-tariffs-bonus,6
452,main-internet-tariffs-news,6
453,main-rabota-archive-rabota-bonus,6
454,main-vklad-news-bonus,6
455,main-bonus-rabota-internet-rabota,6
456,main-online-internet-vklad,6
457,main-news-main-online,6
458,main-news-tariffs-online,6
459,main-news-tariffs-internet,6
460,main-vklad-bonus-online,6
461,main-tariffs-main-archive,6
462,main-bonus-online-bonus,6
463,main-online-tariffs-online,6
464,main-rabota-archive-online,6
465,main-online-main-rabota,6
466,main-internet-tariffs-archive,6
467,main-news-internet-tariffs,6
468,main-bonus-rabota-vklad,5
469,main-rabota-tariffs-internet,5
470,main-bonus-rabota-archive-rabota,5
471,main-online-news-tariffs,5
472,main-tariffs-internet-online,5
473,main-vklad-digital,5
474,main-news-vklad-internet,5
475,main-vklad-main-vklad,5
476,main-vklad-bonus-main,5
477,main-tariffs-vklad-rabota,5
478,main-internet-rabota-internet-rabota,5
479,main-internet-vklad-online,5
480,main-archive-bonus-rabota-bonus,5
481,main-rabota-archive-rabota-news,5
482,main-tariffs-rabota-tariffs,5
483,main-tariffs-news-internet,5
484,main-internet-archive-digital,5
485,main-digital-bonus,5
486,main-news-vklad-archive-rabota,5
487,main-tariffs-main-bonus,5
488,main-rabota-vklad-news,5
489,main-news-archive-rabota-bonus,5
490,main-rabota-vklad-internet,5
491,main-rabota-vklad-online,5
492,main-news-archive-bonus-internet,5
493,main-internet-rabota-news-rabota,5
494,main-news-main-internet,5
495,main-rabota-vklad-bonus-rabota,5
496,main-rabota-archive-internet-rabota,5
497,main-internet-online-vklad,5
498,main-bonus-rabota-tariffs-rabota,5
499,main-rabota-tariffs-online-archive,5
500,main-archive-main-archive,5
501,main-bonus-vklad-main,5
502,main-news-main-news,5
503,main-online-main-archive,5
504,main-news-internet-vklad,5
505,main-archive-main-archive-main,5
506,main-online-main-bonus,5
507,main-tariffs-bonus-main,5
508,main-bonus-news-bonus,5
509,main-bonus-internet-rabota-bonus,5
510,main-bonus-vklad-news,5
511,main-online-archive-news-internet,5
512,main-internet-vklad-main,5
513,main-vklad-rabota-bonus,5
514,main-bonus-rabota-online,5
515,main-rabota-news-tariffs-rabota,5
516,main-online-news-main-rabota,5
517,main-internet-vklad-internet,5
518,main-online-main-tariffs,5
519,main-internet-online-internet,5
520,main-internet-news-vklad,5
521,main-digital-tariffs,5
522,main-rabota-main-tariffs,5
523,main-news-vklad-archive,5
524,main-rabota-vklad-bonus,5
525,main-online-vklad-archive,5
526,main-vklad-tariffs-rabota,5
527,main-main-bonus,5
528,main-tariffs-main-news,5
529,main-online-digital,5
530,main-vklad-bonus-tariffs,5
531,main-bonus-archive-rabota-internet,5
532,main-vklad-internet-online,5
533,main-archive-tariffs-online,4
534,main-bonus-main-news-bonus,4
535,main-bonus-internet-bonus-archive,4
536,main-bonus-tariffs-online,4
537,main-bonus-internet-rabota-news,4
538,main-rabota-bonus-online-tariffs,4
539,main-news-tariffs-news,4
540,main-internet-bonus-archive-rabota,4
541,main-rabota-archive-internet-bonus,4
542,main-rabota-bonus-digital,4
543,main-online-bonus-vklad,4
544,main-vklad-main-online,4
545,main-vklad-news-tariffs,4
546,main-tariffs-digital-archive,4
547,main-tariffs-rabota-archive-tariffs,4
548,main-news-vklad-rabota,4
549,main-bonus-vklad-internet,4
550,main-vklad-news-archive-vklad,4
551,main-news-digital-rabota,4
552,main-rabota-vklad-main,4
553,main-bonus-tariffs-news-archive,4
554,main-archive-bonus-internet,4
555,main-rabota-bonus-rabota-news,4
556,main-bonus-internet-news-bonus,4
557,main-bonus-archive-rabota-tariffs,4
558,main-news-archive-internet-news,4
559,main-vklad-main-bonus,4
560,main-news-internet-main,4
561,main-news-internet-archive-rabota,4
562,main-tariffs-main-vklad,4
